Obesity Prevalence,,,Year 2013,Year 2013,Year 2012,Year 2012,Year 2004,Year 2004
State,FIPS Codes,County,number,percent,number,percent,number,percent
Alaska,02201,Prince of Wales-Outer K 2004 to 2008 Census,No Data,No Data,No Data,No Data,1113,27.6
Alaska,02220,Sitka City and Borough,1941,28.7,1827,27,1339,21.3
Alaska,02230,Skagway Municipality 2009 Census,243,28.1,255,30.6,No Data,No Data
Alaska,02232,Hoonah-Angoon 2004 to 2008 Census,No Data,No Data,No Data,No Data,621.5,26.4
Alaska,02240,Southeast Fairbanks Census,1666,33.1,1689,33,1092,26.9
Alaska,02261,Valdez-Cordova Census Area,2157,30.4,2147,30.4,1973,28.5
Alaska,02270,Wade Hampton Census Area,1427,32.6,1470,34.4,1144,30.2
Alaska,02275,Wrangell City and Borough 2009 Census,560,30.6,536,29.4,No Data,No Data
Alaska,02280,Wrangell-Petersburg 2004 to 2008 Census,No Data,No Data,No Data,No Data,1060,24
Alaska,02282,Yakutat City and Borough,154,31.3,159,32.1,144.9,27.4
Alaska,02290,Yukon-Koyukuk Census Area,1123,28.3,1066,26.5,950.2,23.4
Arizona,04001,Apache County,17023,35.2,15828,32.8,11820,28.5
Arizona,04003,Cochise County,25211,26,24204,24.7,19860,22.7
Arizona,04005,Coconino County,22773,23.2,20862,21.5,16530,19.6
Arizona,04007,Gila County,11295,27.5,10954,26.8,8546,22.9
Arizona,04009,Graham County,8355,32.5,8069,31.8,5040,22.8
Arizona,04011,Greenlee County,2135,34.7,2001,33.4,1183,23.5
Arizona,04012,La Paz County,5255,32,5158,31.5,3429,22.1
Arizona,04013,Maricopa County,735213,25.4,628879,22.2,462600,19
Arizona,04015,Mohave County,47422,29.6,44696,28.1,28430,21.1
Arizona,04017,Navajo County,22881,30.9,22642,30.9,17060,25.3
Arizona,04019,Pima County,180192,24.2,160157,21.7,119600,18.3
Arizona,04021,Pinal County,89968,31.6,83544,29.9,40550,26.2
Arizona,04023,Santa Cruz County,7382,23,6725,21.2,4566,17.5
Arizona,04025,Yavapai County,43596,25.3,41863,24.7,27520,18.7
Arizona,04027,Yuma County,43302,30.5,42665,30.4,28240,23.9
Arkansas,05001,Arkansas County,4741,33.8,4803,34,4197,28.4
Arkansas,05003,Ashley County,6635,42.1,6318,39.8,4733,27.9
Arkansas,05005,Baxter County,10639,32.3,9564,29,8107,25.6
Arkansas,05007,Benton County,50511,30.1,46473,28.4,30490,23.9
Arkansas,05009,Boone County,9525,33.9,8169,29.2,6614,25.1
Arkansas,05011,Bradley County,3261,39,3143,37.1,2559,27.7
Arkansas,05013,Calhoun County,1424,34.2,1470,35,1136,27.4
Arkansas,05015,Carroll County,7525,35.8,7560,36.2,4986,25.3
Arkansas,05017,Chicot County,3654,43.1,3354,39.2,2934,30.9
Arkansas,05019,Clark County,5755,34.3,5333,31.8,4386,26
Arkansas,05021,Clay County,3986,33.7,3893,32.7,3323,26.3
Arkansas,05023,Cleburne County,6415,31.8,6295,31.2,4907,25.2
Arkansas,05025,Cleveland County,2263,35.7,2337,36.7,1782,27.8
Arkansas,05027,Columbia County,6418,36.4,6748,38.1,5024,27.8
Arkansas,05029,Conway County,6284,39.7,6175,39.1,4263,28.3
Arkansas,05031,Craighead County,26581,36.4,26152,36.4,17690,28.4
Arkansas,05033,Crawford County,15680,35.1,16105,36.1,10060,25.1
Arkansas,05035,Crittenden County,13372,38.8,13250,38.4,10480,30.4
Arkansas,05037,Cross County,4847,37.9,4849,37.7,4053,29.8
Arkansas,05039,Dallas County,2157,36.2,2168,36.2,1908,30.2
Arkansas,05041,Desha County,3553,39.6,3502,38.8,2984,29.5
Arkansas,05043,Drew County,4696,34.3,4211,30.8,3886,29
Arkansas,05045,Faulkner County,28735,33.2,24825,28.9,17310,25.7
Arkansas,05047,Franklin County,4893,37.1,4858,36.8,3321,25.1
Arkansas,05049,Fulton County,3125,32.9,3041,32,2302,25.3
Arkansas,05051,Garland County,24169,32.3,23118,31,17150,24.3
Arkansas,05053,Grant County,5113,38.3,4879,36.6,3738,29.4
Arkansas,05055,Greene County,9796,31.2,10688,34.1,8340,29.4
Arkansas,05057,Hempstead County,6444,40.3,6598,41.2,4855,29.2
Arkansas,05059,Hot Spring County,8795,34.7,8208,32.5,6411,28
Arkansas,05061,Howard County,3457,35.7,3663,37.3,2840,27.5
Arkansas,05063,Independence County,10059,37.2,9221,34,6717,26.2
Arkansas,05065,Izard County,3617,33.9,3542,33,2695,26
Arkansas,05067,Jackson County,5107,37.2,5460,40.1,3635,27.4
Arkansas,05069,Jefferson County,21898,40.7,21350,39,17590,30.1
Arkansas,05071,Johnson County,6822,36.4,6491,34.7,4392,25.5
Arkansas,05073,Lafayette County,2026,36.3,1927,34,1809,30
Arkansas,05075,Lawrence County,4047,31.8,4222,33.3,3279,25.5
Arkansas,05077,Lee County,2798,35.7,2785,35.2,2630,30.8
Arkansas,05079,Lincoln County,4195,37.5,4004,35.7,3152,28.6
Arkansas,05081,Little River County,3117,32.7,3174,33.1,2701,27.6
Arkansas,05083,Logan County,6169,37.5,5751,35.3,4646,27.8
Arkansas,05085,Lonoke County,17984,35.8,16799,33.9,10420,25
Arkansas,05087,Madison County,3964,34,3795,32.9,2758,25.8
Arkansas,05089,Marion County,4215,31.7,4129,30.8,3174,24.8
Arkansas,05091,Miller County,11473,35.9,10749,33.5,8890,29
Arkansas,05093,Mississippi County,12543,39.8,12032,37.7,9918,30.1
Arkansas,05095,Monroe County,2186,37.5,2211,37.1,2036,30.2
Arkansas,05097,Montgomery County,2442,33.8,2404,33.1,1727,24.7
Arkansas,05099,Nevada County,2376,36,2284,34.3,1976,28.1
Arkansas,05101,Newton County,2156,34.2,2316,36.7,1737,27.1
Arkansas,05103,Ouachita County,6518,34.8,7151,37.8,5802,29.1
Arkansas,05105,Perry County,2945,37.5,2818,36.1,2158,28
Arkansas,05107,Phillips County,6511,45.5,6019,41.5,5075,31.8
Arkansas,05109,Pike County,3106,37.8,3080,37.3,2058,25.3
Arkansas,05111,Poinsett County,6884,38.4,7233,40.4,4895,26.9
Arkansas,05113,Polk County,5567,36.7,4878,32,3914,26.6
Arkansas,05115,Pope County,14614,32.1,14910,32.8,10980,27.3
Arkansas,05117,Prairie County,2341,36.3,2302,35.3,1793,25.9
Arkansas,05119,Pulaski County,91723,31.7,90591,31.5,62600,23.7
Arkansas,05121,Randolph County,4704,35.3,4743,35.3,3521,25.6
Arkansas,05123,St. Francis County,8713,42.5,8373,40.4,5983,30.3
Arkansas,05125,Saline County,27482,32.5,26045,31.5,17350,26.3
Arkansas,05127,Scott County,2600,32.5,2509,31.3,2057,25.9
Arkansas,05129,Searcy County,2180,35,1989,31.8,1530,24.9
Arkansas,05131,Sebastian County,34196,36.9,32567,35.2,24320,28.9
Arkansas,05133,Sevier County,4352,36.7,4664,39.8,2912,26.2
Arkansas,05135,Sharp County,4898,37.3,4372,33.4,3182,23.8
Arkansas,05137,Stone County,3170,32.6,3423,35.1,2262,25.3
Arkansas,05139,Union County,11882,39.4,10716,35.5,9322,28.8
Arkansas,05141,Van Buren County,4727,35.6,4662,35,3580,28.1
Arkansas,05143,Washington County,46742,30.6,43593,29.2,26340,21.3
Arkansas,05145,White County,20712,36.3,20195,35.4,13450,26.3
Arkansas,05147,Woodruff County,1906,35.8,1927,36.1,1687,28.4
Arkansas,05149,Yell County,5848,37.1,5551,35.2,3962,25.8
California,06001,Alameda County,239490,20,233862,20,221400,21
California,06003,Alpine County,206,23.4,208,23.7,204.9,21.5
California,06005,Amador County,7705,25.5,8108,26.6,5723,19.1
California,06007,Butte County,43754,25.9,42180,25.2,32260,20.6
California,06009,Calaveras County,8383,23.5,8982,25.3,6809,19.3
California,06011,Colusa County,3743,25.4,3450,23.7,2793,20.3
California,06013,Contra Costa County,202273,25,180906,22.9,159200,22.1
California,06015,Del Norte County,5450,25.5,5878,27.2,4449,21
California,06017,El Dorado County,28635,20.6,26657,19.4,25240,19.7
California,06019,Fresno County,173009,26.6,184671,28.8,140300,24.6
California,06021,Glenn County,5252,26.7,5530,28.3,3762,20.1
California,06023,Humboldt County,26419,25.5,25312,24.5,21090,21.9
California,06025,Imperial County,31884,26.3,30028,25,22030,21.8
California,06027,Inyo County,3293,23.3,3249,22.9,2668,19.3
California,06029,Kern County,177032,30.3,163742,28.5,121300,24.9
California,06031,Kings County,27793,26.4,26264,24.9,24700,25.1
California,06033,Lake County,12950,26.2,13158,26.6,10290,21.4
California,06035,Lassen County,6152,23.9,6748,24.9,5582,20.8
California,06037,Los Angeles County,1592424,21.4,1536910,21,1341000,19.4
California,06039,Madera County,27896,26.5,28005,26.7,19290,20.1
California,06041,Marin County,37852,18.9,35810,18.1,32150,16.8
California,06043,Mariposa County,3507,24.4,3380,23.4,2874,20.5
